X,Y,OBJECTID,Event_Uniq,district,Crime_Type,Occurren_4,DateCon,Crimestopp,Divisional
-79.42285379,43.64123811,85,GO-2017481891,d14,Assault,1,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.38272498,43.63950541,86,GO-2017481971,d52,Assault,1,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/
-79.4425325,43.77199576,87,GO-2017481973,d32,Assault,1,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/
-79.42285379,43.64123811,88,GO-2017482075,d14,Assault,2,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.34655144,43.67666516,89,GO-2017482058,d54,Assault,2,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d54/
-79.58875281,43.72233024,90,GO-2017482366,d23,Assault,3,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/
-79.34112123,43.68466704,91,GO-2017482436,d54,Assault,4,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d54/
-79.50227205,43.5994405,92,GO-2017482484,d22,Assault,4,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.50793052,43.75928356,93,GO-2017482531,d31,Assault,5,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/
-79.21331683,43.80986767,94,GO-2017482601,d42,Assault,7,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/
-79.28098417,43.76096824,95,GO-2017483182,d41,Assault,17,"Thursday, March 16, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/
-79.29152134,43.69366395,96,GO-2017483189,d54,Assault,8,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d54/
-79.22494214,43.75211874,97,GO-2017483256,d43,Assault,20,"Friday, March 17, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
-79.55690359,43.61012618,98,GO-2017483749,d22,Assault,11,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.41466706,43.6605257,99,GO-2017483925,d14,Assault,12,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.55690359,43.61012618,100,GO-2017483908,d22,Assault,12,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.56231873,43.63562536,101,GO-2017484443,d22,Assault,14,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.44800318,43.63708535,102,GO-2017484770,d11,Assault,15,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d11/
-79.57255182,43.65302754,103,GO-2017484884,d22,Assault,2,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.37775902,43.65196349,104,GO-2017484948,d51,Assault,15,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/
-79.36860681,43.64577505,105,GO-2017485627,d51,Assault,18,"Saturday, March 18, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/
